x	y	cluster	source
1	0.5	78	1	Dataframe 1
2	0.50066333816858	78.0257468085606	1	Dataframe 1
3	0.502651592604216	78.0514253017578	1	Dataframe 1
4	0.505959487766684	78.076967345493	1	Dataframe 1
5	0.510578246643509	78.1023051677163	1	Dataframe 1
6	0.516495614038472	78.1273715382492	1	Dataframe 1
7	0.523695889088972	78.1520999471705	1	Dataframe 1
8	0.532159966925947	78.1764247812901	1	Dataframe 1
9	0.541865389365832	78.2002814982445	1	Dataframe 1
10	0.552786404500042	78.22360679775	1	Dataframe 1
11	2.52824058797053	82.174515164691	1	Dataframe 1
12	3.5	86.0615528128088	1	Dataframe 1
13	3.5	92.9504902432036	1	Dataframe 1
14	2.50970966215454	97.9019419324309	1	Dataframe 1
15	2.50546945328608	97.9262467738548	1	Dataframe 1
16	2.50243333666597	97.9507311910167	1	Dataframe 1
17	2.50060870468789	97.9753355687985	1	Dataframe 1
18	2.5	98	1	Dataframe 1
19	2.5	99.9384471871912	1	Dataframe 1
20	1.51492874992733	103.878732187482	1	Dataframe 1
21	1.50957163168893	103.90263462856	1	Dataframe 1
22	1.50539159137238	103.926770756423	1	Dataframe 1
23	1.50239866149922	103.951082641913	1	Dataframe 1
24	1.50060002540529	103.975511934033	1	Dataframe 1
25	1.5	104	1	Dataframe 1
26	1.5	106	1	Dataframe 1
27	1.50075742218359	106.027510879579	1	Dataframe 1
28	1.50302739398089	106.054938409757	1	Dataframe 1
29	1.50680303808393	106.082199493653	1	Dataframe 1
30	3.5	118.041381265149	1	Dataframe 1
31	3.5	120	1	Dataframe 1
32	3.50071874037177	120.026799697462	1	Dataframe 1
33	3.50287289513618	120.053522346826	1	Dataframe 1
34	3.50645627118125	120.080091121503	1	Dataframe 1
35	3.51145856643886	120.106429637292	1	Dataframe 1
36	3.5178653995028	120.132462171971	1	Dataframe 1
37	3.52565835097474	120.158113883008	1	Dataframe 1
38	4.52565835097474	123.158113883008	1	Dataframe 1
39	4.53366469316076	123.180364579658	1	Dataframe 1
40	4.54271412486534	123.202211840411	1	Dataframe 1
41	4.55278640450004	123.22360679775	1	Dataframe 1
42	6.55278640450004	127.22360679775	1	Dataframe 1
43	6.56541445449203	127.247255745405	1	Dataframe 1
44	6.57929192119019	127.270193842314	1	Dataframe 1
45	6.59437890741222	127.292355142332	1	Dataframe 1
46	6.61063203865379	127.313675932575	1	Dataframe 1
47	6.62800458778852	127.334094916593	1	Dataframe 1
48	6.64644660940673	127.353553390593	1	Dataframe 1
49	7.61143792464112	128.318544705828	1	Dataframe 1
50	9.58397485283108	131.277350098113	1	Dataframe 1
51	9.59816269057303	131.297534496744	1	Dataframe 1
52	9.61332892933105	131.316994452803	1	Dataframe 1
53	9.62943664206261	131.335682584824	1	Dataframe 1
54	9.64644660940673	131.353553390593	1	Dataframe 1
55	10.6114379246411	132.318544705828	1	Dataframe 1
56	12.5839748528311	135.277350098113	1	Dataframe 1
57	12.5989274030115	135.298564518898	1	Dataframe 1
58	12.6149606519777	135.318974451131	1	Dataframe 1
59	12.6320313977934	135.338524899808	1	Dataframe 1
60	12.6500936429649	135.357163185822	1	Dataframe 1
61	12.6690987183821	135.374839087908	1	Dataframe 1
62	12.6889954144583	135.391504977966	1	Dataframe 1
63	12.7097301191155	135.407115949394	1	Dataframe 1
64	12.7312469622439	135.421629938094	1	Dataframe 1
65	12.7534879662441	135.435007835807	1	Dataframe 1
66	12.77639320225	135.4472135955	1	Dataframe 1
67	14.77639320225	136.4472135955	1	Dataframe 1
68	14.7997185017555	136.458134610634	1	Dataframe 1
69	14.8235752187099	136.467840033074	1	Dataframe 1
70	14.8479000528295	136.476304110911	1	Dataframe 1
71	14.8726284617508	136.483504385962	1	Dataframe 1
72	14.8976948322837	136.489421753356	1	Dataframe 1
73	14.923032654507	136.494040512233	1	Dataframe 1
74	14.9485746982422	136.497348407396	1	Dataframe 1
75	14.9742531914394	136.499336661831	1	Dataframe 1
76	15	136.5	1	Dataframe 1
77	17	136.5	1	Dataframe 1
78	17.0261679781215	136.499314767377	1	Dataframe 1
79	17.0522642316338	136.497260947684	1	Dataframe 1
80	17.0782172325201	136.493844170298	1	Dataframe 1
81	17.1039558454089	136.489073800367	1	Dataframe 1
82	17.1294095225513	136.482962913145	1	Dataframe 1
83	17.1545084971875	136.475528258148	1	Dataframe 1
84	17.1791839747726	136.466790213249	1	Dataframe 1
85	17.2033683215379	136.456772728821	1	Dataframe 1
86	17.2269952498698	136.445503262094	1	Dataframe 1
87	17.25	136.433012701892	1	Dataframe 1
88	17.2723195175075	136.419335283973	1	Dataframe 1
89	17.2938926261462	136.404508497187	1	Dataframe 1
90	17.3146601955249	136.388572980728	1	Dataframe 1
91	17.3345653031794	136.371572412739	1	Dataframe 1
92	17.3535533905933	136.353553390593	1	Dataframe 1
93	20.3535533905933	133.353553390593	1	Dataframe 1
94	20.3692112786134	133.337169144117	1	Dataframe 1
95	20.3841106397987	133.320092199832	1	Dataframe 1
96	25.3550113489049	127.355011348905	1	Dataframe 1
97	31.3200921998322	122.384110639799	1	Dataframe 1
98	31.3381571596105	122.368306578008	1	Dataframe 1
99	31.3554428549606	122.351653774127	1	Dataframe 1
100	31.3719094519561	122.334190603617	1	Dataframe 1
101	31.3875190042369	122.315957309387	1	Dataframe 1
102	31.4022355404551	122.296995909054	1	Dataframe 1
103	31.4160251471689	122.277350098113	1	Dataframe 1
104	35.3605551275464	116.360555127546	1	Dataframe 1
105	38.2674503463921	114.422624981649	1	Dataframe 1
106	43.0445787087711	111.556347964222	1	Dataframe 1
